Δαρείου	OF DARIUS
ὥσπερ	as-if
τις	| any-one
ἂν	might
δράμοι	run [on a race]
περὶ	for
νίκης,	victory,
καὶ	and
κατὰ	down
μάλα	(a) very
πρανοῦς	steep
γηλόφου,	hill,
έχοντες	having
τε	also
τούτους	(on) those
τοὺς	rich
πολυτελεῖς	tunics,
χιτῶνας,	and
καὶ	variegated
τὰς	trowsers,
ποικίλας	and
ἀναξυρίδας,	also
δὲ	some
καὶ	(having)
ἔνιοι	chains
στρεπτοὺς	about
περὶ	- (their)
τοῖς	necks,
τραχήλοις,	and
καὶ	bracelets
ψέλλια	about
περὶ	- (their)
ταῖς	| hands;
χερσίν·	(wrists];
εὐθὺς	directly
δὲ	also
εἰσπηδήσαντες	having-leaped
σὺν	with
τούτοις	these (ornaments)
εἰς	into
τὸν	the
πηλὸν	mud
ἐξεκόμισαι	they-brought-out
τὰς	the
ἁμάξας	wagons
μετεώρους	lifted-up
θᾶττον	quicker
ἢ	than
ὡς	(even-thus)
τις	any-one
ἂν	might
ᾤετο.	have-thought.
Δὲ	And
τὸ	(on)
σύμπαν	the whole
Κῦρος	| Cyrus
ἦν	was
δῆλος	evident
σπεύδων	hastening
πᾶσαν	all
τὴν	the
ὁδὸν	road, [Cyrus was evidently hastening the march],
καὶ	and
οὐ	not
διατρίβων,	delaying,
μὴ	unless
ὅπου	where
ἐκαθέζετο	he-halted
ἕνεκα	on-account-of
ἐπισιτισμοῦ	provisions
ἤ	or
τινος	of-some
ἄλλου	other
ἀναγκαίου,	necessary (thing),
νομίζων	thinking
ὅσῳ	(that) by-how-much
μὲν	the-more-speedily
θᾶττον	he-might-go
ἔλθοι	(he might come)
τοσούτῳ	by-so-much
ἀπαρασκευαστοτέρω	the-more-unprepared
μαχεῖσθαι	to-fight
βασιλεῖ,	(the) king,
δὲ	and
ὅσῳ	by-how-much
σχολαιότερον	the-more-tardily (he might march)
τοσούτῳ	by-so-much
πλέον	the-more (numerous)
στράτευμα	army
συναγείρεσθαι	is-to-be-collected
βασιλεῖ.	'for (the) 'king.
Καὶ	| And
δ᾽	also
ἦν	it-was
συνιδεῖν	to-perceive
τῷ	to-the
προσέχοντι	directing
τὸν	the
νοῦν	mind [and it might readily be perceived by any one directing his attention to it]
ἡ	| the
ἀρχὴ	empire
βασιλέως	of (the) 'king
οὖσα	(as) being
ἰσχυρὰ	strong
μὲν	indeed [that the empire of the king was indeed strong]
πλήθει	'from (the) 'multitude
χώρας	(and extent of) territory
καὶ	and
ἀνθρώπων,	(the number) of-men.
δὲ	but
ἀσθενής	weak
τοῖς	by-the
μήκεσι	lengths
τῶν	of-the
ὁδῶν	roads
και	and
τῷ	in-the
διεσπάσθαι	to-have-separated [in the dispersion)
τὰς	(of)
δυνάμεις,	- (its) forces,
εἰ	if
τις	any-one
ἐποιεῖτο	made
τὸν	war
πόλεμον	(against it)
διὰ	by
ταχέων.	quick (movements).
Δὲ	But
πέραν	beyond
τοῦ	the
ποταμοῦ	river
Εὐφράτου,	Euphrates,
κατὰ	through
τοὺς	(the opposite)
ἐρήμους	| desert
σταθμούς	stations [marches through the desert]
ἦν	there-was
εὐδαίμων	(an) opulent
καὶ	and
μεγάλη	large
πόλις,	city,
δε	and
ὄνομα	(its) name
Χαρμάνδη.	(was) Charmande.
Ἐκ	From
ταύτης	this (city)
οἱ	the
στρατιῶται	soldiers
ἠγόραζον	brought
τὰ	the
ἐπιτήδεια	necessaries-of-life
διαβαίνοντες	crossing-over
σχεδίας	on-temporary-rafts
ὧδε·	(made) thus;
ἐπίμπλασαν	they-filled
κούφου	with
χόρτου	| light grass [hay]
διφθέρας	(the) skins,
ἃς	which
εἶχον	they-had
στεγάσματα,	(as) covering (for their tents),
εἶτα	then
συνήγον	they-united-togeti er
καὶ	(the edges)
συνέσπων	and | 'drew (them)
ὡς	'together (sewed them)
τὸ	so-that
ὕδωρ	the water
μη	(could) not
ἅπτεσθαι	(to)-touch
τῆς	the
κάρφης·	hay;
ἐπὶ	on
τούτων	these
διέβαινον,	they-crossed-over,
καὶ	and
ἐλάμβανον	procured
τὰ	the
ἐπιτήδεια,	necessaries,
οἶνον	not-only wine
τε	made
πεποιημένον	of
ἐκ	the
τῆς	fruit
βαλάνου	- from
τῆς	ne
ἀπὸ	palm-tree,
τοῦ	but-also
φοίνικος,	corn
καὶ	of-pannic;
σῖτον	for
μελίνης·	this
γὰρ	was
τοῦτο	most-plentiful
ἦν	in
πλεῖστον	(this)
ἐν	country.
τῇ	And
χώρα.	here
Δὲ	the
ἐνταῦθα	soldiers
τῶν	not-only
στρατιωτῶν	-
τε	of-Monon
τοῦ	but-also
Μένωνος	(those)
και	of-Clearchus
τῶν	having-been-disputing-about
τοῦ	something,
Κλεάρχου	Clearchus
ἀμφιλεξάντων	| having-judged [judging]
τι,	the
ὁ	(soldier)
Κλέαρχος	-
κρίνας	of-Menon
τὸν	| to-do-wrong
του	[to be in the wrong)
Μένωνος	inflicted
ἀδικεῖν	blows
ἐνέβαλε	(on him);
πληγὰς·	but
δὲ	who
ὁ	having-gone
ἐλθὼν	| to
προς	the
το	army
στράτευμα	of-himself
ἑαυτοῦ	[to the army, to which he belonged]
ἔλεγε·	told [what had befallen him];
δ'	but
οἱ	the
στρατιῶται	soldiers
ἀκούσαντες	having-heard (this)
ἰσχυρῶς	'were vehemently
ἐχαλέπαινον,	'irritated,
καὶ	and
ὠργίζοντο	enraged
τῷ	(at)
Κλεάρχῳ.	Clearchus.
Δὲ	And
τη	the
αὐτῇ	same
ἡμέρᾳ	day
Κλέαρχος,	Clearchus,
ἐλθὼν	having-gone
ἐπὶ	to
τὴν	the
διάβασιν	crossing
τοῦ	of-the
ποταμοῦ,	river,
καὶ	and
ἐκεῖ	here
κατασκεψάμενος	having-inspected
τὴν	the
ἀγοράν,	market.
ἀφιππεύει	he-rides-away
ἐπὶ	| to
τὴν	the
σκηνὴν	tent
ἑαυτοῦ	of-himself [to his own ten
διὰ	through
τοῦ	the
στρατεύματος	army
Μένωνος,	of-Menon,
σὺν	| with
ὀλίγοις	(a) few
τοῖς	followers, namely) (the) (those)
περὶ	about
αὐτόν·	him;
δὲ	but
Κῦρος	Cyrus
οὕτω	'had not-yet
ἧκεν,	'come,
ἀλλ᾽	but
ἔτι	still
προσήλαυνε·	proceeded (on his march);
δὲ	but
τις	some-one
τῶν	of-the
στρατιωτῶν	soldiers
Μένωνος	of-Menon
σχίζων	(who was) splitting
ξύλα,	wood,
ὡς	as
εἶδε	he-saw
τὸν	Clearchus
Κλέαρχον	riding-through
διελαύνοντα,	(the camp),
ἵησι	throws
τῇ	(at him)
ἀξίνῃ·	'with (his)
και	'axe;
αὑτος	and
μὲν	this (soldier)
ἥμαρτει	indeed
αὐτοῦ·	missed him,
δ᾽	but
ἄλλος	another
λίθῳ	(throws) 'with (a)
καὶ	'stone
ἄλλος,	and-also another,
εἶτα	then
πολλοί,	many,
κραυγῆς	(a) shout
γενομένης.	(at the same time) having-occurred.
Δε	But
ὁ	-
καταφεύγει	(Clearchus) takes-refuge
εἰς	| in
τὸ	the
στράτευμα	army
ἑαυτοῦ,	of-himself, [in his own camp],
και	and
εὐθὺς	immediately
παραγγέλλει	calls [his men]
εἰς	to
τὰ	arms;
ὅπλα·	and
καὶ·	he-ordered
ἐκέλευσε	| the
τοὺς	heavy-armed-men
μὲν	of-him
ὁπλίτας	[his heavy-armed men]
αὑτοῦ	| to-have-remained
μεῖναι	[to remain]
θέντας	having-placed
τας	(their)
ἀστίδας	shields
προς	against
τα	- (their)
γόνατα·	knees;
δὲ	but
αὐτὸς	he
λαβών	taking
τοὺς	the
Θρᾷκας	Thracians
καὶ	and
τοὺς	the
ἱππέας,	horsemen,
οἱ	that
ἦσαν	were
αὐτῷ	with-him
ἐν	in
τῷ	the
στρατεύματι	army
πλείους	more
ἢ	than
τετταράκοντα,	forty (in number),
δὲ	but
οἱ	the
πλεῖστοι	most
τούτων	of-these (were)
Θρᾷκες,	Thracians,
ἤλαυνεν	proceeded-out
ἐπὶ	against
τοὺς	the
Μένωνος,	(troops) of-Menon,
ὥστ'	so (that)
ἐκείνους	they
ἐκπεπλήχθαι	were-struck
αὐτὸν,	(with astonishment,
καὶ	as was)
Μένωνα	also Menon himself,
καὶ	and
τρέχειν	(so that they) run
ἐπὶ	to
τὰ	arms.
ὅπλα.	But
Δὲ	also
καὶ	(some)
οἱ	stood
ἕστασαν	hesitating
ἀποροῦντες	(about)
τῷ	the
πράγματι.	affair (not knowing what to make of it).
Ὁ	But
δὲ	Proxenus,
Πρόξενος,	for
γὰρ	he-happened
ἔτυχε	approaching
προσιών	last
ὕστερος,	(in order), [who brought up the rear],
καὶ	and
τάξις	(a) division
τῶν	of the
ὁπλιτῶν	heavy-armed-men
ἐπομένη	following
αὐτῷ,	him,
ἄγων	leading
οὖν	therefore (his soldiers)
εὐθὺς	immediately
εἰς	| into
τὸ	the
μέσον	middle
ἀμφοτέρον	of-both [into the space between both]
ἔθετο	stood
τὰ	(under)
ὅπλα,	arms,
καὶ	and
ἑδεῖτο	required
τοῦ	of
Κλεάρχου	- Clearchus
μὴ	nat
ποιεῖν	to-do
ταῦτα.	these (things).
Δὲ	But
ὁ	- (Clearchus)
ἐχαλέπαινεν,	was-irritated,
ὅτι	because
αὑτοῦ	he
δεήσαντος	having-wanted
ὀλίγου	little
καταλευσθήναι,	to-have been-stoned,
πράως	(that he, Proxenus,) 'should mildly
λέγοι	'mention
τὸ	| the
πάθος	suffering
αὐτοῦ	of-him [his ill treatment]
ἐκέλευε	he-ordered
τε	him
αὐτὸν	(then)
ἐξίστασθαι	to-stand-out
ἐκ	from
τοῦ	the
μέσου.	middle.
Δὲ	But
Κῦρος	Cyrus
καὶ	also
ἐν	at
τούτῳ	this
ἐπίει,	came-up,
καὶ	and
ἐπύθετο	inquired-into
τὸ	the
πρᾶγμα·	affair;
δ᾽	-
εὐθὺς	(then) 'he immediately
ἐλαβε	'took
τὰ	(his)
παλτὰ	javelins
εἰς	in
τὰς	(his)
χεῖρας,	hands,
και	and
σὺν	with
τοῖς	(those)
παροῦσι	present
τῶν	of (his)
πιστῶν,	faithful-attendants,
ἦκεν	came
ἐλαύνων	hastening
εἰς	to
τὸ	the
μέσον,	midst (of them),
καὶ	and
λέγει	speaks
τάδε.	thus.
Κλέαρχε	O-Clearchus
καὶ	and
Πρόξενε,	Proxenus,
καὶ	and (you)
οἱ	the
ἄλλοι	other
Ἕλληνες	Greeks
οἱ	who
παρόντες,	are-present,
ἴστε	you-know
οὐκ	not
ὅ	what
τι	you-are-doing.
ποιεῖτε.	For
Γὰρ	if
εἰ	you-shall-join-in
συνάψετε	any
τινα	battle
μάχην	with-one-another,
ἀλλήλοις,	| think
νομίξετε	[be assured]
ἐμέ	(that) I
τε	not-only
κατακεκόψεσθαι	will-instantly-be-cut-off
ἐν	in
τῇδε	this
τῇ	(the) (very)
ἡμέρᾳ,	day,
καὶ	but-also
ὑμᾶς	you
οὐ	not
πολὺ	long
ὕστερον	after
ἐμοῦ·	me;
γὰρ	for
τῶν	if
ἡμετέρων	our
ἐχόντων	affairs
κακῶς	go badly [for if our affairs go ill]
πάντες	all
οὗτοι	these
βάρβαροι,	barbarians,
οὓς	that
ὁρᾶτε	you-see
ἔσονται	will-be
πολεμιώτεροι	more-hostile
ἡμῖν	to-us
τῶν	than) (those barbarians)
ὄντων	| being
παρὰ	(who are with
βασιλεῖ	(the) king.
Ὁ	Clearchus
Κλέαρχος	hearing
ἀκούσας	these
ταῦτα	(things)
ἐγένετο	| became
ἐν	in
ἑαυτῷ·	himself; [recovered self-possession];
καὶ	and
ἀμφότεροι	both (parties)
παυσάμενοι	having-ceased (from strife)
ἔθεντο	placed
τὰ	(their)
ὅπλα	arms
κατά	in
χώραν.	(their appropriate place.
Προϊόντων	PROCEEDING
ἐντεῦθεν	thence
ἴχνια	(the) footsteps
καὶ	and
κόπρος	dung
ἱππων	of-horses
ἐφαίνετο·	appeared;
ὁ	the
στίβος	track
δ'	indeed
εἰκάζετο	was-conjectured
εἶναι	to-be
ὡς	about (that)
δισχιλίων	of-two-thousand
ἵππων.	borses.
Οὗτοι	These
προϊόντες	going-before
ἔκαιον	burned
καὶ	both
χιλὸν	(the) fodder
καὶ	and
τι	any-thing
ἄλλο	else,
εἴ	if
ἦν	(it) was
χρήσιμον.	useful.
Ορόντης	Orontes
δὲ,	indeed,
Πέρσης	(a) Persian
ἀνήρ	man
τε	not-only
προσήκων	being-related
γένει	by-birth
βασιλεῖ,	'to (the, 'king,
καὶ	but-also
τὰ	(as respects)
πολέμια	warlike-affairs
λεγόμενος	being-considered
ἐν	among
τοῖς	the
ἀρίστοις	most-distinguished
Περσῶν,	'of (the) 'Persians,
ἐπιβουλεύει	plots-against
Κύρῳ,	Cyrus,
καὶ	and
πρόσθεν	(with whom) he-'had formerly
πολενήσας	'been-at-war,
δὲ	but
καταλλαγεὶς.	had-become-reconciled.
Ούτος	This (person)
εἶπε	said
Κύρῳ	to-Cyrus,
εἰ	if
δοίη	he-would-give
αὐτῷ	him
χιλίους	a-thousand
ἱππέας,	horsemen,
ὅτι	that
ἐνεδρεύσας	having-lain-in-ambush
ἂν	'he would
ἢ	either
κατακάνοι	'destroy
τοὺς	the
ἱππέας	horsemen
προκατακαίοντας	burning-down-everything-before-them,
ἢ	or
ἕλοι	might-take
πολλοὺς	many
αὐτῶν	of-them
ζῶντας,	alive,
καὶ	| and
κωλύσειε	would-hinder
ἐπιόντας	(them) going-against
τοῦ	of-the
καίειν,	to-burn, [and would hinder them from going and burning everything],
καὶ	and
ποιήσειεν,	would-make, and would cause],
ὥστε	that
αὐτοὺς	they
ἰδόντας	having-seen
τὸ	the
στράτευμα	army
Κύρου	of-Cyrus
μήποτε	would never
δύνασθαι	'be-able
διαγγεῖλαι	| to-have-told [to tell]
βασιλεῖ.	(it) 'to (the, 'king.
Δὲ	| But
τῷ	to
Κίρῳ	-
ἀκούσαντι	Cyrus hearing
ταῦτα	these (things,
ἐδόκει	it-seemed
εἶναι	to-be
ὠφέλιμα,	advantageous, [but Cyrus hearing these propositions approved of them as being advantageous],
καὶ	and
ἐκέλευσεν	he-ordered
αὐτὸν	him
λαμβάνειν	to-take
μέρος	(a) part (of the troops)
παρ'	from
ἑκάστου	each
τῶν	of-the
ἡγεμόνων.	commanders.
Ὁ	-
δ'	But
Ορόντης,	Orontes,
νομίσας	having-thought
τοὺς	the
ἱππέας	horsemen
εἶναι	o-be
ἑτοίμους	ready
αὐτῷ,	for-him,
γράφει	writes
ἐπιστολὴν	(a) letter
παρὰ	to
βασιλέα,	(the) king,
ὅτι	that
ἥξοι	he-would-come
ἔχων	having
πλείστους	the-most
ἱππέας	horsemen
ὡς	that
ἂν	he might
δύνηται·	'be-able (to obtain); [that he would come to him with the greatest number of horsemen he could obtain];
ἀλλὰ	but
ἐκέλευε	he-requested
φράσαι	(him)
τοῖς	| to-have-told
ἱππεῦσιν	the
ἑαυτοῦ	horsemen of-him [to tell his horsemen]
ὑποδέχεσθαι	to-receive
αὐτὸν	him
ὡς	as
φίλιον.	(a) friend.
Καὶ	And
ἐνὴν	there
ἐν	| was
τῇ	[were] in
ἐπιστολῇ	the letter
δὲ	not-only
ὑπομνήματα	reminiscences
πρόσθεν	of-former
φιλίας	friendships
καὶ	but-also
πίστεως.	of-fidelity (to him).
Δίδωσι	He-gave
ταύτην	this
τὴν	the
ἐπιστολὴν	letter
πιστῷ	to (a) 'faithful
ἀνδρί,	man,
ὡς	as
ᾤετο.	he-thought;
δὲ	but
ὁ	(he)
λαβών	taking (the letter)
δίδωσι	gave
Κύρῷ.	(it) to-Cyrus.
Δὲ	But
ὁ	Cyrus
Κῦρος	having-read
ἀναγνοὺς	it
αὐτὴν	arrests
συλλαμβάνει	Orontes,
Ὀρόντην,	and
καὶ	he-convokes
συγκαλεῖ	| in
εἰς	the
τὴν	tent
σκηνὴν	of-himself
ἑαυτοῦ	[in his own tent]
τοὺς	the
ἑπτά	seven
ἀρίστους	most-distinguished
Περσῶν	'of (the)
τῶν	'Persians
περὶ	about
αὐτὸν·	him;
καὶ	and
ἐκέλευε	he-ordered
τοὺς	the
στρατηγοὺς	commanders
τῶν	of-the
Ἑλλήνων	Greeks
ἀγαγεῖν	to-bring-up
ὁπλίτας,	heavy-armed-men,
δε	and
τούτους	| to-have-placed
θέσθαι	[to place]
τὰ	these
ὅπλα	(in) arms
περὶ	around
τὴν	the
σκηνήν	tent
αὐτοῦ.	of-him [his tent].
Δὲ	And
οἱ	(they)
ἐποιήσαν	did
ταῦτα	these (things)
ἀγαγόντες	bringing
ὡς	about
τρισχιλίους	three-thousand
ὁπλίτας.	heavy-armed-men.
Δὲ	And
καὶ	also
παρεκάλεσε	he-called
εἴσω	within
Κλέαρχον	Clearchus
σύμβουλον,	(as) counsellor,
ὃς	who
γε	at-least
ἐδόκει	seemed
καὶ	both
αὐτῷ	to-himself
καὶ	and
τοῖς	the
ἄλλοις	others
μάλιστα	'to-be the-most
προτιμηθῆναι	'honoured
τῶν	of-the
Ἑλλήνων.	Greeks.
Δ᾽	But
ἐπεὶ	after
ἐξῆλθεν	he-came-out
ἐξήγγειλε	he-related
τοῖς	to
φίλοις	(his) friends
τὴν	the
κρίσιν	trial
τοῦ	of-Orontes,
Ὀρόντου,	how
ὡς	it-was (conducted);
ἐγένετο·	for
γὰρ	there-was
ἦν	no
οὐκ	secrecy
ἀπόῤῥητον.	(enjoined),
Ἔφη	He-said
δὲ	(that)
Κῦρον	Cyrus
ἄρχειν	began
τοῦ	the
λόγου	subject
ὧδε·	thus;
Παρεκάλεσα	I-have-invited
ὑμᾶς	you
ἄνδρες	(O-men)
φίλοι,	(my) friends,
ὅπως	that
βουλευόμενος	deliberating
σὺν	with
ὑμῖν	you
πράξω	I-will-do
περὶ	respecting
τουτουί	this
Ὀρόντου	Orontes
τοῦτο	| that
ὅ	whatever
τι	just
δίκαιόν	is
ἐστι	[that which is just]
καὶ	both
πρὸς	before
θεῶν	gods
καὶ	and
πρὸς	before
ἀνθρώπων.	men.
Γὰρ	For
πρῶτον	first
μὲν	indeed
ὁ	
ἐμὸς	my
πατὴρ	father
εδωκε	gave
τοῦτον	this (man)
εἶναι	to-be
ὑπήκοον	obedient
ἐμοί.	to-me
Δ	But

ἐπεὶ	when
ταχθείς,	having-been-ordered,
ὡς	as
αὐτός	he himself
ἔφη,	said,
ὑπὸ	by
τοῦ	(the)
ἐμου	my
ἀδελφοῦ,	brother,
οὗτος	this (Orontes)
ἐπολέμησεν	made-war-against
ἐμοὶ	me
ἔχων	(he) having
τὴν	the
ἀκρόπολιν	citadel
ἐν	in
Σάρδεσι	Sardis,
καὶ	and
ἐγὼ	I
προσπολεμῶν	making-war-against
αὐτὸν	him
ἐποίησα	| made (it so) [carried it on so]
ὥστε	that
δόξαι	(it) seemed (best)
τούτῳ	to-this (person)
παύσασθαι	to-have-put-an-end
τοῦ	(to) the
πολέμου	war
πρὸς	against
ἐμὲ,	me,
καὶ	and
ἔλαβον	I-took
δεξιὰν	(his) right-hand
καὶ	and
ἔδωκα.	gave (him mine in friendship).
Μετὰ	After
ταῦτα	these
ἔφη,	he-said,
ὦ	O
Ὀρόντα	Orontes
ἔστιν	is-there
ὅ	what
τι	any [any thing in which]
ἠδίκησα	I-have-wronged
σε;	you ?
᾿Απεκρίνατο	He-answered
ὅτι	that (there-is)
οὐ.	not.
Δὲ	But
ὁ	Cyrus
Κῦρος	again
πάλιν	inquired;
ἠρώτα·	(did you)
οὐκοῦν	not-then
ὕστερον,	afterwards,
ὡς	as
σὺ	you
αὐτὸς	yourself
ὁμολογεῖς,	confess,
ἀποστὰς	having-gone-over
εἰς	to
Μυσούς	(the) Mysians,
ἀδικούμενος	being-injured
οὐδὲν	(in) no (manner)
ὑπ᾿	by
ἐμοῦ	me,
ἐποίεις	act
κακῶς	ill (against)
τὴν	my
ἐμὴν	territory,
χώραν,	what
ὅ	any-thing
τι	[in whatever]
ἐδύνω;	you-could?
Ὁ	Orontes
Ὀρόντης	said
ἔφη.	(that he did).
Οὐκοῦν	(Did you) not-then
ἔφη	said
ὁ	Cyrus
Κῦρος	| when
ὁποτ᾽	again
αὖ	you-knew
ἔγνως	the
τὴν	strength
δύναμιν	of-yourself,
σεαυτοῦ	[when you were aware of the little strength you possessed against me),
ἐλθὼν	coming
ἐπὶ	to
τὸν	the
βωμόν	altar
τῆς	of-Diana,
᾿Αρτέμιδος,	you-said
ἔφησθα	(that it)
τε	not-only
μεταμέλειν	repented
σοι,	you
καὶ,	but-also,
πείσας	having-persuaded
ἐμέ	me,
πάλιν	'you again
ἔδωκάς	'gave
μοι	me
πιστά,	pledges (of good faith),
καὶ	and
ἐλαβες	received
παρ᾿	(the same) from
ἐμοῦ;	me?
Καὶ	And
ὁ	Orontes
Ὀρόντης	confessed
ὡμολόγει	these
ταῦτα	(things).
Τί	(In) what
οὖν,	then,
ἔφη	said
ὁ	Cyrus,
Κῦρος,	having-been-injured
ἀδικηθεὶs	by
ὑπ᾿	me,
ἐμοῦ,	[hast thou been injured by me],
νῦν	(that) now
τὸ	(for) the
τρίτον	third (time)
γέγονας	you-have-been
φανερὸς	manifestly
ἐπιβουλεύων	plotting-against
μοι;	me?
Δὲ	But
τοῦ	Orontes
Ὀρόντου	saying,
εἰπόντος	that
ὅτι	having-been-injured
οὐδὲν.	(in) nothing (he did so).
ἀδικηθείς	Cyrus
Ὁ	asked
Κῦρος	him;
ἠρώτησεν	You-confess
αὐτόν·	therefore
Ὁμολογεῖς	to-have-been
οὖν	unjust
γεγενῆσθαι	towards
ἄδικος	me?
περὶ	(I confess it)
ἐμὲ;	for
Γὰρ	certainly
ἦ	(there is a)
ἀνάγκη,	necessity,
ἔφη	said
ὁ	Orontes.
Ὀρόντης.	After
Ἐκ	this
τούτο	Cyrus
ὁ	again
Κῦρος	asked;
πάλιν	Would
ἠρώτησεν·	'you yet
*Αν	then
ἔτι	become
οὖν	hostile
γένοιο	to-my
πολέμιος	brother,
τῷ	but
ἐμῷ	friendly
ἀδελφῷ,	and
δὲ	faithful
φίλος	to-me?
καὶ	And
πιστός	he-answered,
ἐμοὶ;	that
Ὁ	neither
δὲ	if
ἀπεκρίνατο	I-should-become
ὅτι	(so),
οὐδ᾽	O
εἰ	Cyrus,
γενοίμην,	would-it
ὦ	yet-ever
Κῦρε,	seem-so,
ἂν	to-you
δόξαιμι,	at-least
σοὶ	never.
γε	On
ἔτι	this
ποτε.	Cyrus
Πρὸς	said
ταῦτα	(to those)
Κῦρος	present.
εἶπε	(This)
τοῖς	man
παροῦσιν.	indeed
Ὁ	'has
ἀνηρ	certainly
μὲν	'done
πεποίηκε	sach-things
τοιαῦτα	and
δὲ	he-acknowledges
λέγει	the-same.
τοιαῦτα.	And
Δε	of-you
ὑμῶν	(present)
σὺ	'do you
ὦ	O
Κλέαρχε	Clearchus
πρῶτος	first
ἀπόφηνα	'declar
γνώμην,	(your) opinion,
ὅ	whatever
τι	seems
δοκεῖ	(right)
σοι.	to-you.
Δὲ	And
Κλέαρχος	Clearchus
εἶπε	spoke
τάδε·	thus;
Ἐγὼ	I
συμβουλεύω	advise
τον	(that) this
τοῦτον	man
ἄνδρα	be-put
ποιεῖσθαι	out-of-the-way
ἐκποδών	as
ὡς	quickly
τάχιστα,	(as possible),
ὡς	that
μηκέτι	'it-may no-longer
δέη	'be-necessary
φυλάττεσθαι	to-guard-against
τοῦτον,	this (person),
ἀλλὰ	but
σχολὴ	(that) there-may-be
ἡμῖν,	leisure to-us,
κατὰ	concerning
τὸ	the
εἶναι	to-be
τοῦτον	this-one [so far as relates to this man]
ποιεῖν	to-do
εὖ	good
τούτους	(to) those
τοὺς	willing
ἐθελοντὰς	(to be)
φίλους.	friends.
Δὲ	And
ἔφη	he-said
ταύτῃ	(that) in-this
τῇ	opinion
γνώμῃ	also
καὶ	the
τοὺς	others
ἄλλους	concurred.
προσθέσθαι.	After
Μετά	these
ταῦτα,	(things),
Κύρου	Cyrus
κελεύοντος,	ordering (it),
ἅπαντες	all
καὶ	even
οἱ	the
συγγενεῖς	relations (of Orontes)
ἀναστάντες	rising-up
ἔλαβον	took
τὸν	Orontes
Ὀρόντην	(by)
τῆς	the
ζώνης	girdle
ἐπὶ	| as-to
θανάτῳ·	death; [in token of his being condemned to death];
δὲ	but
εἶτα	then
οἷς	(those) to-whom
προσετάχθη	it-was-commanded,
ἐξῆγον	led
αὐτὸν.	him (out).
Δ᾽	But
ἐπεὶ	when
εἶδον	(those) saw
αὐτὸν	him
οἵπερ	who
πρόσθεν	formerly
προσεκύνουν,	used-to-bow-down (before him),
καὶ	and
τότε	then
προσεκύνησαν,	(also) they-bowed-down (before him)
καίπερ	although
εἰδότες,	knowing,
ὅτι	that
ἄγοιτο	he-might-be-led
ἐπι	to
θάνατον.	death.
Δὲ	And
ἐπεὶ	then
εἰσηνέχθη	he-was-led
τὴν	to-the
σκηνὴν	tent
᾿Αρταπάτου,	of-Artapatas,
τοῦ	the
πιστοτάτου	most-faithful (and trusted)
τῶν	of the
σκηπτούχων	| sceptre-bearers [ushers]
Κύρου,	of-Cyrus,
μετὰ	after
ταῦτα	this
οὐδεὶs	no-one
πώποτε	ever
εἶδε	saw
Ὀρόντην	Orontes,
οὔτε	neither
ζῶντα	living
οὔτε	nor
τεθνηκότα,	having-died,
οὐδὲ	| nor
οὐδεὶs	any-one
εἰδὼς	having-known
ἔλεγεν	nas-said [nor、culd any one of his own knowledge say]
ὅπως	how
ἀπέθανε	he died
δ'	land
ἄλλοι	others
εἰκαζον	conjectured
ἄλλως.	otherwise [some conjectured this, and others that].
Δὲ	But
οὐδεὶς	no
τάφος	tomb
αὐτοῦ	of-him
πώποτε	'was ever
ἐφανη.	'seen.
Ἐντεῦθεν	HENCE
ἐξελαύνει	he-proceeds
διὰ	through
τῆς	the
Βαβυλωνίας	Babylonian (province)
τρεῖς	three
σταθμούς	days'-march
δώδεκα	(making) twelve
παρασάγγας.	parasangs.
Δ᾽	And
ἐν	on
τῷ	the
τρίτῷ	third
σταθμῷ	day's march
Κῦρος	Cyrus
ποιεῖται,	makes,
περὶ	about
μέσας	(the) middle
νύκτας,	of-night,
ἐξέτασιν	a-review
τῶν	of-the
Ἑλλήνων	Greeks
καὶ	and
τῶν	of-the
Βαρβάρων,	Barbarians,
ἐν	on
τῷ	the
πεδίῳ·	plain;
γὰρ	for
ἐδόκει	he-thought
βασιλέα	(that the) king
ἥξειν	would-arrive
εἰς	on
τὴν	the
ἕω	morning
ἐπιοῦσαν	coming
σὺν	with
τῷ	the
στρατεύματι	army
μαχούμενον·	(and) offering-battle;
καὶ	and
μὲν	he-ordered
ἐκέλευε	Clearchus
Κλέαρχον	to-take-command
ἡγεῖσθαι	of-the
τοῦ	right
δεξωῦ	wing,
κέρως,	and
δὲ	Menon
Μένωνα	the
τὸν	Thessalian
Θετταλὸν	of-the
τοῦ	left;
εὐωνύμου	but
δὲ	he-himself
αὐτὸς	drew-up-in-order-of-battle
διέταξε	the
τοὺς	of-himself
ἑαυτοῦ.	[his own troops].
Δὲ	But
μετὰ	after
τὴν	the
ἐξέτασιν	review
ἅμα	| at-the-same-time
τῃ	with-the
ἐπιούσῃ	coming
ἡμερα,	day, [at dawn of day],
αὐτόμολοι	deserters
ἥκοντες	coming
παρά	from
μεγάλου	(the) great
βασιλέως	king
ἀπήγγελλον	informed
Κύρῳ	Cyrus
περί	about
τῆς	(the state)
στρατιᾶς	of-the
βασιλέως.	army 'of (the) 'king.
Δὲ	Cyrus,
Κῦρος,	having-assembled
συγκαλέσας	the
τοὺς	generals
στρατηγοὺς	and
καὶ	captains
λοχαγους	of-the
τῶν	Greeks,
